"L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49","L50"
0.0259708940000001,0.0210526320000001,0.064004089,0.0421797429999999,0.019179737,0.04329201,0.040238562,0.0270451820000001,0.0391674120000001,0.040121747,0.0424932109999999,0.047873117,0.030495091,0.0376225059999999,0.0405250389999999,0.033266581,0.091999548,0.0480176919999999,0.048833456,0.075438538,0.0249657089999999,0.028772605,0.0449668219999999,0.010861844,0.048800665,0.022155799,0.023275669,0.0124082099999999,0.02735221,0.027369745,0.0189953980000001,0.016503032,0.038808411,0.018217417,0.0231085929999999,0.045918636,0.023255066,0.053478731,0.0342725199999999,0.015987752,0.01917731,0.031526243,0.034259638,0.033626092,0.042283951,0.00498806200000002,0.0185717089999999,0.027185355,0.024823587,0.0506665789999999
0.0259708940000001,0.0210526320000001,0.064004089,0.0421797429999999,0.019179737,0.04329201,0.040238562,0.0270451820000001,0.0391674120000001,0.040121747,0.0424932109999999,0.047873117,0.030495091,0.0376225059999999,0.0405250389999999,0.033266581,0.091999548,0.0480176919999999,0.048833456,0.075438538,0.0249657089999999,0.028772605,0.0449668219999999,0.010861844,0.048800665,0.022155799,0.023275669,0.0124082099999999,0.02735221,0.027369745,0.0189953980000001,0.016503032,0.038808411,0.018217417,0.0231085929999999,0.045918636,0.023255066,0.053478731,0.0342725199999999,0.015987752,0.01917731,0.031526243,0.034259638,0.033626092,0.042283951,0.00498806200000002,0.0185717089999999,0.027185355,0.024823587,0.0506665789999999
0.024823143,0.016842106,0.05447781,0.0373026,0.016156558,0.04329201,0.029076616,0.024585153,0.027974061,0.030973306,0.0212499749999999,0.036187885,0.0135114350000001,0.0311054399999999,0.0405250389999999,0.028206657,0.079214847,0.0480176919999999,0.048833456,0.075438538,0.024462779,0.024229187,0.0311652269999999,0.00997692699999997,0.038635913,0.022155799,0.0208253549999999,0.0124082099999999,0.02735221,0.027369745,0.010128205,0.016503032,0.038808411,0.018217417,0.0137793279999999,0.045918636,0.0167034880000001,0.051214686,0.033766105,0.015987752,0.011862711,0.026435268,0.032007792,0.0324136039999999,0.032098765,0.00498806200000002,0.0185717089999999,0.021136968,0.022987571,0.0506665789999999
0.024823143,0.016842106,0.05447781,0.0373026,0.016156558,0.041276895,0.029076616,0.024585153,0.027974061,0.030973306,0.0212499749999999,0.036187885,0.0135114350000001,0.0311054399999999,0.0405250389999999,0.028206657,0.079214847,0.028588207,0.048833456,0.075438538,0.024462779,0.024229187,0.0311652269999999,0.00997692699999997,0.038635913,0.022155799,0.0208253549999999,0.0119649469999999,0.02735221,0.023620149,0.010128205,0.00869842499999995,0.038808411,0.00748321799999996,0.0137793279999999,0.03495785,0.0167034880000001,0.051214686,0.033766105,0.0150122570000001,0.011862711,0.026435268,0.032007792,0.0324136039999999,0.032098765,0.00353997799999994,0.017135021,0.021136968,0.022987571,0.0506159869999999
0.024823143,0.016842106,0.05447781,0.032438314,0.016156558,0.041276895,0.029076616,0.019052359,0.027466966,0.030973306,0.0212499749999999,0.031168083,0.0135114350000001,0.0311054399999999,0.0405250389999999,0.028206657,0.079214847,0.028588207,0.043172907,0.047790911,0.017324078,0.024229187,0.0311652269999999,0.00426435700000005,0.038635913,0.018211625,0.020823355,0.0119649469999999,0.0263999029999999,0.023620149,0.010128205,0.00869842499999995,0.03461552,0.00748321799999996,0.0137793279999999,0.03495785,0.0167034880000001,0.034517636,0.023635874,0.0150122570000001,0.011862711,0.026435268,0.032007792,0.026353364,0.032098765,0.00353997799999994,0.017135021,0.021136968,0.022987571,0.0506159869999999
0.015796311,0.014210527,0.03580809,0.032438314,0.015650493,0.025672178,0.029076616,0.019052359,0.027466966,0.020826165,0.0212499749999999,0.031168083,0.00694861899999999,0.026586362,0.0405250389999999,0.01466257,0.055689747,0.028588207,0.043172907,0.047790911,0.017324078,0.010091846,0.0311652269999999,0.00426435700000005,0.038635913,0.018211625,0.020823355,0.00576398099999997,0.0263999029999999,0.00697886400000003,0.010128205,0.00869842499999995,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.0167034880000001,0.034517636,0.023635874,0.0150122570000001,0.011862711,0.026435268,0.032007792,0.026353364,0.0308641980000001,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.012462542,0.0506159869999999
0.015796311,0.014210527,0.03580809,0.019467664,0.015650493,0.025672178,0.014531439,0.019052359,0.0188215110000001,0.020826165,0.0212499749999999,0.028392791,0.00694861899999999,0.026586362,0.039515173,0.01466257,0.055689747,0.028588207,0.043172907,0.047790911,0.010699738,0.010091846,0.0311652269999999,0.00426435700000005,0.038635913,0.018211625,0.0179718919999999,0.00576398099999997,0.0244759059999999,0.00697886400000003,0.010128205,0.00869842499999995,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.0167034880000001,0.0215002590000001,0.023635874,0.0150122570000001,0.011862711,0.026435268,0.032007792,0.0139342579999999,0.0308641980000001,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.012462542,0.00898398599999994
0.015796311,0.014210527,0.03580809,0.019467664,0.015650493,0.025672178,0.014531439,0.019052359,0.0188215110000001,0.020826165,0.0212499749999999,0.028392791,0.00694861899999999,0.026586362,0.039515173,0.01466257,0.055689747,0.028588207,0.043172907,0.047790911,0.010699738,0.010091846,0.0311652269999999,0.00426435700000005,0.038635913,0.018211625,0.0179718919999999,0.00576398099999997,0.0244759059999999,0.00697886400000003,0.010128205,0.007748168,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.0167034880000001,0.0215002590000001,0.023635874,0.0150122570000001,0.011862711,0.026435268,0.032007792,0.0139342579999999,0.0308641980000001,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.012462542,0.00898398599999994
0.015796311,0.014210527,0.035805189,0.019467664,0.015650493,0.019126858,0.014531439,0.019052359,0.0188215110000001,0.020826165,0.00828633999999995,0.028392791,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.055689747,0.00305915400000001,0.043172907,0.004096031,0.010699738,0.010091846,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0179718919999999,0.00576398099999997,0.0244759059999999,0.00697886400000003,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.01572074,0.0215002590000001,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.012462542,0.00898398599999994
0.015796311,0.00473684200000002,0.035805189,0.0194653259999999,0.011114195,0.019126858,0.011738764,0.019052359,0.0188215110000001,0.020826165,0.00828633999999995,0.028392791,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.049500265,0.00305915400000001,0.00257307200000001,0.004096031,0.010699738,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00697886400000003,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.012462542,0.00898398599999994
0.012407759,0.00473684200000002,0.012570999,0.0194653259999999,0.011114195,0.019126858,0.011738764,0.014752605,0.0188215110000001,0.020314939,0.00828633999999995,0.028392791,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.049500265,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.0137793279999999,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.01063919,0.00898398599999994
0.012407759,0.00473684200000002,0.012570999,0.0194653259999999,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.01063919,0.00898398599999994
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00949529299999996,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00604029099999992,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011738764,0.014752605,0.0132227660000001,0.020314939,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038635913,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00760619699999998,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.032007792,0.0109057889999999,0.010493827,0.00176973000000002,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.01466257,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00760619699999998,0.007748168,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.01572074,0.02093689,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0.00285714299999995,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.022294105,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00576398099999997,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.030867078,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.019126858,0.011735007,0.014752605,0.0132227660000001,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00354021199999999,0.038431503,0.018211625,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.01263081,0.022634728,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.011862711,0.02584734,0.031330491,0.0109057889999999,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.011114195,0.017116814,0.011735007,0.014752605,0.01170355,0.019304871,0.00828633999999995,0.00668275699999998,0.00694861899999999,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00337938800000004,0.038431503,0.01426745,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00759495300000002,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.0149014980000001,0.0200855910000001,0.023635874,0.015011801,0.000395101000000064,0.000782625000000037,0.031330491,0.010600925,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00898393999999991
0.012407759,0.00473684200000002,0.012570999,0.00594887499999996,0.00757679599999994,0.017116814,0.011735007,0.014752605,0.01170355,0.019304871,0.00828633999999995,0.00668275699999998,0.00385862100000001,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.00337938800000004,0.00996282300000007,0.01426745,0.0147119259999999,0.00399014599999992,0.01152555,0.00590590300000005,0.00505369300000003,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.000490301000000026,0.0200855910000001,0.00202668499999992,0.015011801,0.000395101000000064,0.000782625000000037,0.000676487999999975,0.010600925,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
0.011286734,0.002631579,0.012570999,0.00594887499999996,0.00757679599999994,0.015095614,0.011735007,0.014752605,0.01170355,0.019304871,0.00828633999999995,0.00668275699999998,0.00385862100000001,0.022070289,0.00911478199999993,0.014099507,0.016509835,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.000885201999999974,0.00996282300000007,0.01426745,0.0147119259999999,0.00310440599999995,0.00960707999999999,0.00590590300000005,0.00505369300000003,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.000490301000000026,0.0200855910000001,0.00202668499999992,0.00643267300000006,0.000395101000000064,0.000782625000000037,0.000676487999999975,0.010600925,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
0.011286734,0.002631579,0.012570999,0.00594887499999996,0.00757679599999994,0.015095614,0.010622692,0.014752605,0.01170355,0.015236709,0.0079255909999999,0.00668275699999998,0.00385862100000001,0.015046185,0.00911478199999993,0.012973381,0.011550484,0.00305915400000001,0.00257307200000001,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.000885201999999974,0.00284635600000005,0.01426745,0,0.00310440599999995,0.00960707999999999,0.00268471100000001,0.00505369300000003,0.00291071799999998,0.03461552,0.00213216699999996,0.00961579599999995,0.022634728,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.00726759099999996,0.010493827,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
0.011286734,0.002631579,0.012570999,0.00540658100000002,0.00757679599999994,0.013077456,0.010622692,0.014752605,0.01170355,0.015236709,0.0079255909999999,0.00668275699999998,0.00385862100000001,0.015046185,0.00911478199999993,0.012973381,0.011550484,0.00305915400000001,0,0.004096031,0.005097884,0.00857669399999994,0.0148115689999999,0.000885201999999974,0.00284635600000005,0.01426745,0,0.00221395899999999,0.00960707999999999,0.00268471100000001,0,0.00291071799999998,0.020968848,0.00213216699999996,0.00961579599999995,0.022634728,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.00726759099999996,0.00123456799999999,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
0.0107172980000001,0,0.012570999,0.00540658100000002,0.00757679599999994,0.013077456,0.010622692,0.014752605,0.01170355,0.015236709,0.0079255909999999,0.00668275699999998,0.00385862100000001,0.015046185,0.00709413799999992,0.012973381,0.011550484,0.00305915400000001,0,0,0.00102352500000003,0.00857669399999994,0.000503943999999978,0.000885201999999974,0.00284635600000005,0.01426745,0,0.00221395899999999,0.00960707999999999,0.00268471100000001,0,0.00291071799999998,0.020968848,0.00213216699999996,0.00487911899999993,0.0219535599999999,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.00575243999999997,0.00123456799999999,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00568126799999991
0.0107172980000001,0,0.00457201100000004,0.00540658100000002,0.00757679599999994,0.013077456,0.00726447399999997,0.014752605,0.01170355,0.015236709,0.0079255909999999,0.00278644399999994,0.00385862100000001,0.015046185,0.00709413799999992,0.012973381,0.011550484,0,0,0,0.00102352500000003,0.00857669399999994,0.000503943999999978,0.000241390000000008,0.00284635600000005,0.01426745,0,0.00221395899999999,0.00289014499999996,0.00268471100000001,0,0.00291071799999998,0.020968848,0.00213216699999996,0.00487911899999993,0.0219535599999999,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.00575243999999997,0.00123456799999999,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00450964599999992
0.0107172980000001,0,0.00457201100000004,0.00540658100000002,0.00757679599999994,0.013077456,0.00726447399999997,0.014752605,0.01119128,0.015236709,0.0079255909999999,0.00278644399999994,0.00385862100000001,0.015046185,0.00709413799999992,0.012973381,0.011550484,0,0,0,0.00102352500000003,0.00857669399999994,0.000503943999999978,0.000241390000000008,0.00284635600000005,0.01426745,0,0.00221395899999999,0.00289014499999996,0.00268471100000001,0,0.00291071799999998,0.020968848,0.00213216699999996,0.00487911899999993,0.0219535599999999,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.00575243999999997,0.00123456799999999,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00450964599999992
0.0107172980000001,0,0.00457201100000004,0.00162688299999991,0.00757679599999994,0,0.00726447399999997,0.014752605,0.01119128,0.015236709,0.0079255909999999,0.00278644399999994,0.00385862100000001,0.015046185,0.00709413799999992,0.012973381,0.00412473899999999,0,0,0,0.00102352500000003,0.00857669399999994,0.000503943999999978,0.000241390000000008,0.00284635600000005,0,0,0.00221395899999999,0.00289014499999996,0.00268471100000001,0,0.00291071799999998,0.014688302,0.00213216699999996,0.00487911899999993,0.0219535599999999,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.0030299359999999,0.00123456799999999,0.00112633299999998,0,0.00402820999999998,0.00535750000000002,0.00450964599999992
0.0107172980000001,0,0.00457201100000004,0.00162688299999991,0.00757679599999994,0,0.00726447399999997,0.014752605,0.01119128,0.015236709,0.0079255909999999,0.00278644399999994,0.00385862100000001,0.015046185,0.00709413799999992,0.012973381,0.00412473899999999,0,0,0,0.00102352500000003,0.00857669399999994,0.000503943999999978,0.000241390000000008,0.00284635600000005,0,0,0.00221395899999999,0.00287539899999989,0.00268471100000001,0,0.00291071799999998,0.014688302,0.00213216699999996,0.00487911899999993,0.00275289699999992,0.000490301000000026,0.00226692700000009,0.000675333999999972,0.00643267300000006,0.000395101000000064,0,0,0.0030299359999999,0.00123456799999999,0.000643292999999989,0,0.00402820999999998,0.00535750000000002,0.00450964599999992
